Sr,Job Title,Company Name,Experience,Salary,Location,Education,Department,Industry IT,Key Skills,Job Url
1,Uregently looking For Opertion and Maintenence engineer wind turbines,Wind World (India) Limited,0 to 5 Yrs,Not Available,Other Karnataka,Graduation,General / Other Software,Power / Energy,"maintenance,Airframe,Line Maintenance,Fault Finding,Aircraft Systems,B1",https://www.shine.com/jobs/uregently-looking-for-opertion-and-maintenence-engineer-wind-turbines-permanent/wind-world-india-limited/11821663/
2,Lead Engineer - After Sales Siting (WRA),Vestas,5 to 8 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,wind resource assessment",https://www.shine.com/jobs/lead-engineer-after-sales-siting-wra-permanent/vestas/11818209/
3,HR / IR Head,Wind World (India) Limited,7 to 12 Yrs,Rs 4.0  - 9 Lakh/Yr,Jaisalmer,Graduation,General / Other Software,Power / Energy,"labour,contractor management,statutory,icam,safety culture,statutory compliances",https://www.shine.com/jobs/hr-ir-head-permanent/wind-world-india-limited/11831191/
4,Engineer - WRA,Vestas,4 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind turbine design,equal employment opportunity,interactive creative direction,continuous improvement facilitation,power plant,wind energy",https://www.shine.com/jobs/engineer-wra-permanent/vestas/11810968/
5,Engineer,Vestas,4 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind turbine design,equal employment opportunity,interactive creative direction,continuous improvement facilitation,power plant,wind energy",https://www.shine.com/jobs/engineer-permanent/vestas/11810962/
6,Trainee Engineer - Software Tools Development,Vestas,20 to 24 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"inspection,safety,quality,troubleshooting,documentation,wind turbine design",https://www.shine.com/jobs/trainee-engineer-software-tools-development-permanent/vestas/11810972/
7,Bid Manager - Offshore,Vestas,10 to 15 Yrs,Not Available,Mumbai City,Graduation,General / Other Software,Manufacturing,"social media,proposal writing,wind turbines,rfp,sales,offshore wind",https://www.shine.com/jobs/bid-manager-offshore-permanent/vestas/11818214/
8,PR CREATOR,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"interactive creative direction,continuous improvement facilitation,six sigma,data entry,sap skills,wind energy",https://www.shine.com/jobs/pr-creator-permanent/vestas/11818210/
9,Assistant Lead Engineer - FEA,Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,interactive creative direction",https://www.shine.com/jobs/assistant-lead-engineer-fea-permanent/vestas/11818204/
10,Lead Engineer,Vestas,7 to 12 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,interactive creative direction",https://www.shine.com/jobs/lead-engineer-permanent/vestas/11818200/
11,Service Technician - Karnataka,Vestas,4 to 8 Yrs,Not Available,Other Karnataka,Graduation,General / Other Software,Manufacturing,"social media,troubleshooting,wind turbines,wind energy,continuous improvement facilitation,guest house",https://www.shine.com/jobs/service-technician-karnataka-permanent/vestas/11818207/
12,Engineer-Wind Resource Assessment,Vestas,2 to 6 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"wind turbine design,power plant,social media,sales process,layout design,wind turbines",https://www.shine.com/jobs/engineer-wind-resource-assessment-permanent/vestas/11778780/
13,Assistant Lead Engineer - Tools support,Vestas,3 to 4 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,train new employees",https://www.shine.com/jobs/assistant-lead-engineer-tools-support-permanent/vestas/11810961/
14,Condition Monitoring Asst. Lead Engineer,Vestas,3 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,interactive creative direction",https://www.shine.com/jobs/condition-monitoring-asst-lead-engineer-permanent/vestas/11810967/
15,Lead Professional,Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"six sigma black belt,interactive creative direction,continuous improvement facilitation,six sigma,black belt,data mining",https://www.shine.com/jobs/lead-professional-permanent/vestas/11810957/
16,Assistant Lead Engineer - Blades Manufacturing,Vestas,2 to 5 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,line of sight",https://www.shine.com/jobs/assistant-lead-engineer-blades-manufacturing-permanent/vestas/11810973/
17,Assistant Lead Engineer - Scrum Master,Vestas,5 to 7 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"optimization,actuators,agile,alarm system,bom,finite element analysis",https://www.shine.com/jobs/assistant-lead-engineer-scrum-master-permanent/vestas/11810960/
18,rotor performance engineer,Randstad,3 to 4 Yrs,Not Available,Bangalore,Graduation,General / Other Software,Recruitment Services,"performance testing,load runner,load testing,test scripts,wind energy,machine learning",https://www.shine.com/jobs/rotor-performance-engineer-permanent/randstad/11825233/
19,Lead Engineer,Vestas,8 to > 25 Yrs,Not Available,Chennai,Graduation,General / Other Software,Manufacturing,"java,c,customer relations,linux,automation,interactive creative direction",https://www.shine.com/jobs/lead-engineer-permanent/vestas/11799706/
